# DraftRight Vietnamese word list — bootstrap (~200 most common words).
# Format: word<TAB>frequency. Lines starting with # are comments.
# Replace with the downloadable 50k pack (Task 11 step 7) once shipped.
# Sources: hand-curated from Vietnamese frequency lists (CC BY-SA).
là	100000
và	95000
của	92000
có	90000
được	85000
trong	82000
một	80000
người	78000
không	75000
đã	72000
với	70000
cho	68000
cũng	65000
này	63000
như	60000
ở	58000
sẽ	55000
khi	53000
đến	50000
để	48000
nhưng	45000
đó	43000
ra	42000
nếu	40000
nói	39000
biết	38000
thì	37000
phải	36000
việc	35000
hơn	34000
năm	33000
tôi	32000
mà	31000
hay	30000
vì	29000
nhiều	28000
nhà	27000
học	26000
con	25000
ngày	24000
làm	23000
chỉ	22000
mới	21000
lại	20000
trên	19500
cả	19000
sau	18500
sao	18000
thấy	17500
muốn	17000
hai	16500
mình	16000
ai	15500
nào	15000
chính	14500
đang	14000
ông	13800
bà	13600
bạn	13400
em	13200
anh	13000
chị	12800
chúng	12600
ta	12400
họ	12200
nó	12000
gì	11800
đâu	11600
sự	11400
cách	11200
lúc	11000
giờ	10800
trước	10600
hôm	10400
nay	10200
tới	10000
qua	9800
xuống	9700
lên	9600
vào	9500
ngoài	9400
dưới	9300
cùng	9200
mỗi	9100
hết	9000
được	8900
việt	8800
nam	8700
quốc	8600
gia	8500
thành	8400
phố	8300
hà	8200
nội	8100
sài	8000
gòn	7900
đẹp	7800
yêu	7700
tốt	7600
xấu	7500
lớn	7400
nhỏ	7300
cao	7200
thấp	7100
dài	7000
ngắn	6900
nhanh	6800
chậm	6700
mạnh	6600
yếu	6500
mới	6400
cũ	6300
trẻ	6200
già	6100
nghĩ	6000
hiểu	5900
học	5800
dạy	5700
đọc	5600
viết	5500
nghe	5400
nhìn	5300
ăn	5200
uống	5100
ngủ	5000
thức	4900
sống	4800
chết	4700
sinh	4600
ra	4500
đi	4400
chạy	4300
nằm	4200
ngồi	4100
đứng	4000
chào	3900
cám	3800
ơn	3700
xin	3600
lỗi	3500
vâng	3400
dạ	3300
tạm	3200
biệt	3100
hẹn	3000
gặp	2900
nhớ	2800
quên	2700
buồn	2600
vui	2500
mệt	2400
khỏe	2300
đẹp	2200
giàu	2100
nghèo	2000
hạnh	1950
phúc	1900
khổ	1850
đau	1800
sướng	1750
trời	1700
đất	1650
mặt	1600
trăng	1550
sao	1500
biển	1450
sông	1400
núi	1350
rừng	1300
hoa	1250
quả	1200
cây	1150
cá	1100
chim	1050
chó	1000
mèo	980
gà	960
heo	940
bò	920
trâu	900
ngựa	880
voi	860
sữa	840
nước	820
rượu	800
cà	780
phê	760
trà	740
bia	720
bánh	700
cơm	680
phở	660
bún	640
xôi	620
chè	600
mưa	580
nắng	560
gió	540
bão	520
tuyết	500
mùa	480
xuân	460
hạ	440
thu	420
đông	400
tháng	380
tuần	360
giờ	340
phút	320
giây	300
sáng	280
trưa	260
chiều	240
tối	220
đêm	200
một	180
hai	170
ba	160
bốn	150
năm	140
sáu	130
bảy	120
tám	110
chín	100
mười	90
